modules,go.opentelemetry.io/collector,k8s.io/kubernetes,github.com/prometheus/prometheus
github.com/armon/go-metrics,-,-,v0.4.1
github.com/Code-Hex/go-generics-cache,-,-,v1.5.1
github.com/prometheus/sigv4,-,-,v0.1.0
github.com/moby/docker-image-spec,-,-,v1.3.1
github.com/shurcooL/httpfs,-,-,v0.0.0-20230704072500-f1e31cf0ba5c
github.com/monochromegane/go-gitignore,-,v0.0.0-20200626010858-205db1a8cc00,-
k8s.io/cli-runtime,-,v0.0.0,-
github.com/hashicorp/cronexpr,-,-,v1.1.2
github.com/inconshreveable/mousetrap,-,v1.1.0,-
golang.org/x/time,-,v0.7.0,v0.8.0
github.com/moby/sys/mountinfo,-,v0.7.2,-
github.com/hetznercloud/hcloud-go/v2,-,-,v2.17.0
github.com/kylelemons/godebug,-,-,v1.1.0
github.com/planetscale/vtprotobuf,-,-,v0.6.1-0.20240319094008-0393e58bdf10
gopkg.in/check.v1,v1.0.0-20201130134442-10cb98267c6c,-,-
github.com/coreos/go-oidc,-,v2.2.1+incompatible,-
golang.org/x/net,-,v0.30.0,v0.32.0
github.com/gophercloud/gophercloud,-,-,v1.14.1
github.com/bboreham/go-loser,-,-,v0.0.0-20230920113527-fcc2c21820a3
github.com/AzureAD/microsoft-authentication-library-for-go,-,-,v1.2.2
github.com/mitchellh/go-wordwrap,-,v1.0.1,-
github.com/scaleway/scaleway-sdk-go,-,-,v1.0.0-beta.30
github.com/google/s2a-go,-,-,v0.1.8
github.com/opencontainers/runc,-,v1.2.1,-
github.com/containerd/errdefs,-,v0.1.0,-
github.com/godbus/dbus/v5,-,v5.1.0,v5.0.4
github.com/google/go-cmp,-,v0.6.0,v0.6.0
github.com/go-openapi/validate,-,-,v0.23.0
github.com/distribution/reference,-,v0.6.0,v0.5.0
k8s.io/metrics,-,v0.0.0,-
k8s.io/dynamic-resource-allocation,-,v0.0.0,-
k8s.io/kube-openapi,-,v0.0.0-20241212222426-2c72e554b1e7,v0.0.0-20240228011516-70dd3763d340
github.com/euank/go-kmsg-parser,-,v2.0.0+incompatible,-
github.com/mitchellh/mapstructure,-,-,v1.5.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp,-,-,v1.32.0
github.com/grafana/regexp,-,-,v0.0.0-20240518133315-a468a5bfb3bc
github.com/stretchr/objx,-,v0.5.2,v0.5.2
github.com/xlab/treeprint,-,v1.2.0,-
go.etcd.io/etcd/client/v2,-,v2.305.16,-
github.com/peterbourgon/diskv,-,v2.0.1+incompatible,-
github.com/moby/ipvs,-,v1.1.0,-
github.com/go-zookeeper/zk,-,-,v1.0.4
github.com/go-resty/resty/v2,-,-,v2.15.3
k8s.io/cluster-bootstrap,-,v0.0.0,-
github.com/ishidawataru/sctp,-,v0.0.0-20230406120618-7ff4192f6ff2,-
github.com/go-openapi/analysis,-,-,v0.22.2
github.com/jpillora/backoff,-,-,v1.0.0
github.com/go-errors/errors,-,v1.4.2,-
github.com/exponent-io/jsonpath,-,v0.0.0-20210407135951-1de76d718b3f,-
github.com/nsf/jsondiff,-,-,v0.0.0-20230430225905-43f6cf3098c1
github.com/hashicorp/go-multierror,-,-,v1.1.1
github.com/imdario/mergo,-,-,v0.3.16
k8s.io/component-helpers,-,v0.0.0,-
go.opentelemetry.io/otel/metric,-,v1.28.0,v1.32.0
github.com/container-storage-interface/spec,-,v1.9.0,-
sigs.k8s.io/apiserver-network-proxy/konnectivity-client,-,v0.31.1,-
cloud.google.com/go/auth,-,-,v0.10.2
github.com/opencontainers/selinux,-,v1.11.1,-
github.com/fxamacker/cbor/v2,-,v2.7.0,v2.7.0
github.com/MakeNowJust/heredoc,-,v1.0.0,-
github.com/grpc-ecosystem/grpc-gateway/v2,-,v2.20.0,v2.23.0
k8s.io/kubectl,-,v0.0.0,-
github.com/mdlayher/vsock,-,-,v1.2.1
github.com/googleapis/gax-go/v2,-,-,v2.14.0
github.com/cyphar/filepath-securejoin,-,v0.3.4,-
github.com/spf13/cobra,-,v1.8.1,-
github.com/julienschmidt/httprouter,-,-,v1.3.0
github.com/xhit/go-str2duration/v2,-,-,v2.1.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp,-,v0.53.0,v0.57.0
github.com/tmc/grpc-websocket-proxy,-,v0.0.0-20220101234140-673ab2c3ae75,-
github.com/robfig/cron/v3,-,v3.0.1,-
github.com/gregjones/httpcache,-,v0.0.0-20190611155906-901d90724c79,-
github.com/dustin/go-humanize,-,v1.0.1,-
sigs.k8s.io/kustomize/kustomize/v5,-,v5.5.0,-
golang.org/x/exp,-,v0.0.0-20240719175910-8a7402abbf56,v0.0.0-20240119083558-1b970713d09a
github.com/Azure/go-ansiterm,-,v0.0.0-20230124172434-306776ec8161,-
k8s.io/sample-apiserver,-,v0.0.0,-
github.com/opencontainers/go-digest,-,v1.0.0,v1.0.0
k8s.io/cloud-provider,-,v0.0.0,-
google.golang.org/genproto,-,v0.0.0-20240123012728-ef4313101c80,-
cloud.google.com/go/compute/metadata,-,-,v0.5.2
github.com/mailru/easyjson,-,v0.7.7,v0.7.7
github.com/go-openapi/jsonpointer,-,v0.21.0,v0.20.2
k8s.io/component-base,-,v0.0.0,-
github.com/hashicorp/go-retryablehttp,-,-,v0.7.7
github.com/opencontainers/runtime-spec,-,v1.2.0,v1.0.2
github.com/coredns/caddy,-,v1.1.1,-
